"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.50","192.168.1.255","ALLJOYN-NS","187","VERSION 1 ISAT"
"2","2.456802154","192.168.1.11","255.255.255.255","UDP","46","45227  >  10001 Len=4"
"3","3.688849037","52.96.79.210","192.168.1.208","TLSv1.2","98","Application Data"
"4","3.688892472","192.168.1.208","52.96.79.210","TCP","54","50980  >  443 [ACK] Seq=1 Ack=45 Win=501 Len=0"
"5","4.663115949","192.168.1.208","192.168.1.1","DNS","94","Standard query 0x3bcb A psychology.illinois.edu OPT"
"6","4.663664310","192.168.1.208","192.168.1.1","DNS","90","Standard query 0x1ff2 A ajax.googleapis.com OPT"
"7","4.664123592","192.168.1.208","192.168.1.1","DNS","105","Standard query 0xc85d A onetrust.techservices.illinois.edu OPT"
"8","4.674907746","192.168.1.1","192.168.1.208","DNS","110","Standard query response 0x3bcb A psychology.illinois.edu A 128.174.199.60 OPT"
"9","4.674908303","192.168.1.1","192.168.1.208","DNS","106","Standard query response 0x1ff2 A ajax.googleapis.com A 142.250.191.202 OPT"
"10","4.674908448","192.168.1.1","192.168.1.208","DNS","212","Standard query response 0xc85d A onetrust.techservices.illinois.edu CNAME d29t71yt82cq8p.cloudfront.net A 13.249.87.39 A 13.249.87.44 A 13.249.87.45 A 13.249.87.53 OPT"
"11","4.675852675","192.168.1.208","128.174.199.60","TCP","74","56042  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3899496026 TSecr=0 WS=128"
"12","4.678176381","192.168.1.208","192.168.1.1","DNS","91","Standard query 0x3606 A fonts.googleapis.com OPT"
"13","4.678404388","192.168.1.208","142.250.191.202","QUIC","1392","Initial, DCID=fc3da721488bc03e"
"14","4.679002260","192.168.1.208","13.249.87.53","TCP","74","51872  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=639547864 TSecr=0 WS=128"
"15","4.680154704","192.168.1.208","192.168.1.1","DNS","88","Standard query 0xa8d8 A fonts.gstatic.com OPT"
"16","4.685625588","192.168.1.1","192.168.1.208","DNS","107","Standard query response 0x3606 A fonts.googleapis.com A 172.217.6.106 OPT"
"17","4.687749024","192.168.1.208","172.217.6.106","QUIC","1392","Initial, DCID=b888e336f6914e59"
"18","4.690589192","192.168.1.1","192.168.1.208","DNS","140","Standard query response 0xa8d8 A fonts.gstatic.com CNAME gstaticadssl.l.google.com A 142.250.190.131 OPT"
"19","4.692898593","13.249.87.53","192.168.1.208","TCP","74","443  >  51872 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM=1 TSval=4287694226 TSecr=639547864 WS=512"
"20","4.692954926","192.168.1.208","13.249.87.53","TCP","66","51872  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=639547878 TSecr=4287694226"
"21","4.693036710","192.168.1.208","142.250.190.131","QUIC","1392","Initial, DCID=cdc58583a92b6b4f"
"22","4.693693482","192.168.1.208","13.249.87.53","TLSv1.3","583","Client Hello"
"23","4.696452951","128.174.199.60","192.168.1.208","TCP","74","443  >  56042 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2393033784 TSecr=3899496026 WS=128"
"24","4.696539802","192.168.1.208","128.174.199.60","TCP","66","56042  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3899496046 TSecr=2393033784"
"25","4.697137350","192.168.1.208","128.174.199.60","TLSv1.3","583","Client Hello"
"26","4.705818839","142.250.191.202","192.168.1.208","QUIC","1392","Protected Payload (KP0)"
"27","4.708286659","192.168.1.208","142.250.191.202","QUIC","1392","Handshake, DCID=fc3da721488bc03e"
"28","4.711154900","13.249.87.53","192.168.1.208","TCP","66","443  >  51872 [ACK] Seq=1 Ack=518 Win=67072 Len=0 TSval=4287694244 TSecr=639547879"
"29","4.711155408","13.249.87.53","192.168.1.208","TLSv1.3","2922","Server Hello, Change Cipher Spec, Application Data"
